Time (ms),L-AI,L-TS,C7,R-TS,R-AI,T8,R-WRIST-JOINT,R-ELBOW-JOINT
1685,-9.924911499,17.56800842,2.812656403,-9.400650024,3.598571777,-7.71146965,-22.66165161,-109.9766998
1715,-10.80802917,15.73853302,1.624223709,-10.35840988,1.846862793,-9.165750504,-31.13795471,-120.8140411
1741,-11.46514893,14.15457153,0.69077301,-11.11433411,0.417190552,-10.36321449,-39.49261475,-131.5271759
1797,-11.79859924,12.91838074,0.086589813,-11.51616669,-0.601821899,-11.16195869,-47.40812683,-141.7526093
1824,-11.72392273,12.07862854,-0.14556694,-11.43943787,-1.136749268,-11.44514275,-54.63311768,-151.1085968
1853,-11.19606018,11.60997009,-0.007566452,-10.82927322,-1.147232056,-11.1535244,-61.04257202,-159.3161774
1883,-10.22145081,11.44150543,0.444131851,-9.727550507,-0.655387878,-10.30064964,-66.56723022,-166.2570038
1910,-8.845565796,11.50428772,1.123882294,-8.263572693,0.256828308,-8.961574554,-71.14935303,-171.9832916
1943,-7.115493774,11.75669861,1.951738358,-6.582263947,1.485107422,-7.249738693,-74.834198,-176.6615753
1979,-5.077163696,12.17922974,2.875076294,-4.783309937,2.935974121,-5.289709091,-77.82855225,-180.4592133
2022,-2.816856384,12.75189209,3.877799988,-2.922828674,4.551002502,-3.188949585,-80.38519287,-183.4272614
2053,-0.460678101,13.44169617,4.967470169,-1.018825531,6.300971985,-1.026086807,-82.62921143,-185.4326324
2075,1.87903595,14.21128845,6.151002884,0.954936981,8.141975403,1.141397476,-84.51803589,-186.1999969
2119,4.12877655,15.02098083,7.415187836,3.025371552,9.9868927,3.260362625,-85.94891357,-185.4603119
2155,6.231536865,15.81313324,8.712356567,5.141941071,11.71508026,5.264375687,-86.82980347,-183.0790558
2184,8.119155884,16.50048065,9.961591721,7.164859772,13.19936371,7.062961578,-86.98391724,-179.103714
2213,9.703689575,16.96627808,11.06353569,8.93441391,14.33235931,8.546775818,-85.94296265,-173.7754974
2250,10.89699554,17.08733368,11.91453934,10.33468246,15.0351944,9.611839294,-82.91540527,-167.4751434
2285,11.65263367,16.78509521,12.43169117,11.30353928,15.26141357,10.19155502,-77.40444946,-160.5634613
2319,11.99150085,16.06238556,12.58449268,11.81789017,15.02147675,10.28404427,-70.11010742,-153.249588
2363,11.98419952,14.99411774,12.40244484,11.90478134,14.40073395,9.965751648,-62.63122559,-145.6058502
2388,11.71980286,13.70353699,11.96189499,11.6667366,13.53713226,9.375083923,-56.00500488,-137.6077728
2422,11.30123138,12.34737396,11.36491966,11.26201248,12.58078003,8.673159599,-50.07601929,-129.141861
2453,10.8562088,11.07983398,10.70983887,10.84828568,11.66744995,8.013770103,-44.15507507,-120.0853119
2487,10.51911163,9.993629456,10.07371712,10.53727341,10.90460205,7.519902229,-37.78544617,-110.3781433
2518,10.38437653,9.100692749,9.511310577,10.37392807,10.3538208,7.256865501,-31.03953552,-100.0131836
2551,10.4801178,8.373519897,9.045204163,10.34653091,10.01291656,7.227434158,-24.22428894,-89.09107971
2586,10.76767731,7.780502319,8.656557083,10.4144783,9.822402954,7.388958931,-17.37219238,-77.93482971
2630,11.14762878,7.285003662,8.305517197,10.52074051,9.696258545,7.659725189,-10.3200531,-67.05995178
2649,11.49266052,6.851470947,7.966737747,10.5978508,9.551200867,7.919491768,-3.148178101,-56.9851532
2686,11.70185852,6.462753296,7.643610001,10.59789658,9.327659607,8.045728683,3.811141968,-48.06698608
2719,11.72644043,6.120727539,7.355693817,10.51124191,9.011703491,7.98267746,10.27883911,-40.47277832
2743,11.56226349,5.832168579,7.115335464,10.33520126,8.648216248,7.775994301,16.15660095,-34.23535156
2789,11.24701691,5.596420288,6.908176422,10.04806137,8.315071106,7.530825615,21.45175171,-29.289505
2815,10.86274719,5.410263062,6.692834854,9.625255585,8.069847107,7.337189674,26.18444824,-25.47729492
2851,10.50759125,5.281967163,6.421615601,9.05223465,7.925323486,7.232429504,30.34858704,-22.5544281
2898,10.24386597,5.230575562,6.070457458,8.322528839,7.863731384,7.207466125,33.92622375,-20.23841858
2926,10.07595825,5.277389526,5.658758163,7.441326141,7.855964661,7.220491409,36.91040039,-18.32295227
2955,9.967498779,5.44317627,5.229515076,6.419536591,7.871131897,7.210532188,39.25271606,-16.81976318
2984,9.864616394,5.748794556,4.804275513,5.257656097,7.879440308,7.123119354,40.75909424,-16.0328064
3014,9.712905884,6.216720581,4.372919083,3.951404572,7.852180481,6.93060112,41.04891968,-16.4868927
3054,9.473724365,6.862594604,3.931890488,2.518192291,7.762458801,6.629163742,39.64086914,-18.75488281
3091,9.145591736,7.682617188,3.522792816,1.009506226,7.590332031,6.23969841,36.13908386,-23.29728699
3117,8.7786026,8.658996582,3.222391129,-0.496925354,7.335266113,5.820764542,30.39651489,-30.34866333
3156,8.449775696,9.775794983,3.095115662,-1.904975891,7.037719727,5.45108223,22.56813049,-39.85969543
3191,8.210220337,11.02288818,3.164039612,-3.111000061,6.792915344,5.183137894,13.05085754,-51.55545044
3217,8.060546875,12.38193512,3.409713745,-4.041294098,6.719512939,5.023588181,2.354568481,-65.08226013
3252,7.965171814,13.80445862,3.770580292,-4.705768585,6.888931274,4.950733185,-9.02180481,-80.10064697
3283,7.873252869,15.208992,4.155197144,-5.198535919,7.283081055,4.935871124,-20.62785339,-96.25733948
3312,7.733863831,16.51161194,4.481039047,-5.626457214,7.821273804,4.95419693,-31.95481873,-113.0799255
3360,7.510650635,17.65872192,4.709766388,-6.048233032,8.409828186,4.988233566,-42.4520874,-129.8998566
3397,7.201583862,18.63170624,4.847957611,-6.469234467,8.958770752,5.026628494,-51.79998779,-145.9694977
3419,6.851387024,19.43746948,4.92587471,-6.861209869,9.392097473,5.060594559,-60.02468872,-160.7531281
3453,6.52482605,20.10356903,4.978271484,-7.18655777,9.677635193,5.079658508,-67.37561035,-174.0600433
3489,6.252571106,20.66168213,5.032455444,-7.431377411,9.837478638,5.068063736,-74.16662598,-185.8488922
3510,6.007583618,21.11698151,5.10001564,-7.636539459,9.926452637,5.00336647,-80.54980469,-195.9901581
3563,5.725227356,21.44837952,5.169315338,-7.893695831,10.00867462,4.859294891,-86.34405518,-204.2728424
3600,5.338012695,21.64675903,5.205587387,-8.296142578,10.14241791,4.615491867,-91.13766479,-210.5582123
3614,4.8073349,21.73661804,5.175735474,-8.875915527,10.36613464,4.27684021,-94.57931519,-214.8543243
3665,4.135261536,21.76539612,5.084999084,-9.576160431,10.67933655,3.888023376,-96.55975342,-217.2732697
3700,3.352577209,21.78920746,4.980365753,-10.28663635,11.03022766,3.510528564,-97.15908813,-217.9557648
3716,2.507110596,21.8657608,4.919855118,-10.90363693,11.34236145,3.173570633,-96.49978638,-217.0249176
3747,1.657012939,22.04774475,4.950683594,-11.35381317,11.56941223,2.85691452,-94.6774292,-214.5878143
3784,0.855575562,22.36993408,5.106061935,-11.58953094,11.72157288,2.518688202,-91.7951355,-210.7687531
3815,0.129119873,22.83207703,5.399250031,-11.59176636,11.85216522,2.137659073,-87.97851563,-205.7255096
3855,-0.533843994,23.39766693,5.811100006,-11.37631989,12.03522491,1.741262436,-83.33621216,-199.5978851
3896,-1.161392212,24.01663971,6.293672562,-10.99116516,12.34453583,1.388988495,-77.96878052,-192.4355927
3922,-1.768157959,24.64378357,6.799926758,-10.50119781,12.82606506,1.124376297,-71.98937988,-184.2250519
3951,-2.354141235,25.24230194,7.304506302,-9.966110229,13.47201538,0.953781128,-65.4786377,-174.9986115
3991,-2.906951904,25.79367828,7.788888931,-9.430023193,14.22363281,0.8634758,-58.48550415,-164.8852997
4022,-3.384025574,26.30218506,8.226320267,-8.924854279,15.00354767,0.84185791,-51.10617065,-154.0713959
4054,-3.716468811,26.77248383,8.6010952,-8.475585938,15.75174713,0.891490936,-43.48924255,-142.7570038
4093,-3.847579956,27.19263458,8.933029175,-8.098342896,16.44120789,1.031650543,-35.78634644,-131.1464691
