Time (ms),L-AI,L-TS,C7,R-TS,R-AI,T8,R-WRIST-JOINT,R-ELBOW-JOINT
1685,2.354034424,-28.97055054,-26.43897247,-37.87997818,-9.937309265,-23.85053253,660.489502,627.7214355
1715,1.461395264,-29.06210327,-26.50962067,-38.09422302,-11.52936554,-24.26234436,649.196228,617.2304688
1741,0.534202576,-29.13004303,-26.5249939,-38.16751099,-13.0115509,-24.66675568,636.3763428,605.4352417
1797,-0.438232422,-29.17949295,-26.5055542,-38.12506485,-14.3766861,-25.04981232,621.9979858,592.4449463
1824,-1.464248657,-29.19868851,-26.45921326,-37.96851349,-15.5981369,-25.37216187,606.293396,578.4320679
1853,-2.544616699,-29.18233871,-26.3838501,-37.68266296,-16.63745117,-25.60585785,589.6791382,563.5865479
1883,-3.677642822,-29.13905716,-26.2749939,-37.26210403,-17.47267914,-25.75254822,572.5327759,548.0732422
1910,-4.864715576,-29.09333038,-26.13842773,-36.73773956,-18.11631012,-25.83309937,555.0514526,532.0216064
1943,-6.106658936,-29.08041382,-25.99719238,-36.16139221,-18.60405731,-25.87263489,537.2861938,515.5276489
1979,-7.394012451,-29.12047577,-25.87136841,-35.5650177,-18.97359467,-25.8916626,519.2426758,498.6552734
2022,-8.701255798,-29.1987915,-25.74864197,-34.96035004,-19.25777435,-25.90135956,500.9345703,481.428009
2053,-9.991996765,-29.28070831,-25.59559631,-34.36372757,-19.48403931,-25.90122986,482.4093628,463.8260498
2075,-11.22337341,-29.33216476,-25.39043427,-33.79145813,-19.67195129,-25.87820435,463.7283936,445.8096313
2119,-12.34512329,-29.31930161,-25.1293335,-33.24375916,-19.84037018,-25.80726624,444.8746948,427.3441772
2155,-13.30825806,-29.20285797,-24.81942749,-32.70635223,-20.01665497,-25.65483856,425.7102661,408.4071655
2184,-14.079422,-28.94344711,-24.46994781,-32.15930176,-20.23368835,-25.38711548,406.0096436,388.97052
2213,-14.65014648,-28.52363586,-24.08088684,-31.58475494,-20.51994324,-24.9861908,385.5233459,368.9775391
2250,-15.04242706,-27.97114563,-23.64900208,-30.97598267,-20.88748932,-24.46446991,364.1195374,348.3614502
2285,-15.30448151,-27.34361267,-23.18049622,-30.33989716,-21.32337189,-23.85464478,341.9093933,327.0766602
2319,-15.49570465,-26.69186401,-22.68962097,-29.68370056,-21.79680634,-23.18645477,319.2279968,305.1276855
2363,-15.67159271,-26.0562439,-22.19236755,-29.00600433,-22.27616882,-22.48381042,296.4924316,282.6533813
2388,-15.87240601,-25.46762848,-21.70375061,-28.30194855,-22.73122406,-21.76776123,273.9754028,260.0054321
2422,-16.11304474,-24.92642975,-21.23609924,-27.56206512,-23.12203979,-21.0510025,251.7079468,237.7067261
2453,-16.37874603,-24.41689301,-20.79621887,-26.77567291,-23.40233612,-20.34593201,229.6920471,216.3243713
2487,-16.6388855,-23.95559692,-20.37961578,-25.95040894,-23.53926086,-19.67276764,208.1637573,196.2917786
2518,-16.87277222,-23.59170532,-19.97122955,-25.11751556,-23.5255661,-19.05434418,187.5605774,177.710144
2551,-17.08261108,-23.35608673,-19.5635376,-24.31108093,-23.37921906,-18.5195694,168.2098694,160.3706818
2586,-17.28778839,-23.23680878,-19.17271423,-23.54831696,-23.14362335,-18.10147858,150.1095276,144.0516052
2630,-17.51355743,-23.19798279,-18.83249664,-22.83733368,-22.88760376,-17.81513214,133.0882568,128.7278137
2649,-17.7797699,-23.20207977,-18.5737381,-22.19880676,-22.68994904,-17.6491394,117.1137466,114.5360641
2686,-18.08866119,-23.21921539,-18.4061203,-21.66810608,-22.61187744,-17.58156586,102.3191147,101.6725464
2719,-18.4175415,-23.22894287,-18.31879425,-21.28452301,-22.67977905,-17.59671783,88.80536652,90.30886841
2743,-18.72923279,-23.21911621,-18.29832458,-21.08285522,-22.88213348,-17.69235992,76.59302521,80.53311157
2789,-18.99478149,-23.18530273,-18.34390259,-21.08190918,-23.17276001,-17.87833405,65.71291351,72.35131836
2815,-19.20398712,-23.13274384,-18.47076416,-21.27511597,-23.48738098,-18.16705322,56.25708771,65.71803284
2851,-19.35837555,-23.08138275,-18.70156097,-21.63121033,-23.7690506,-18.55516815,48.39400482,60.55279541
2898,-19.46033478,-23.06267548,-19.04393005,-22.10596466,-23.97919464,-19.00818634,42.322052,56.76309204
2926,-19.50507355,-23.09494781,-19.46260071,-22.64887238,-24.09050751,-19.47274017,38.19086456,54.27514648
2955,-19.47550964,-23.16464996,-19.87740326,-23.19104004,-24.07682037,-19.90738678,36.09938049,53.06278992
2984,-19.34036255,-23.24253082,-20.20322418,-23.65397644,-23.90797424,-20.28792572,36.15359497,53.18637085
3014,-19.05649567,-23.30508423,-20.3910141,-23.98961639,-23.55136108,-20.58507538,38.49376678,54.81761169
3054,-18.57701874,-23.33396912,-20.42959595,-24.19029236,-22.98146057,-20.75935364,43.25068665,58.20910645
3091,-17.86720276,-23.30736542,-20.32621765,-24.26525879,-22.19247437,-20.78823853,50.47989655,63.61528015
3117,-16.92365265,-23.19702911,-20.09977722,-24.23787689,-21.20210266,-20.68629456,60.13715363,71.21081543
3156,-15.77880859,-22.97493744,-19.78586578,-24.15177917,-20.04664612,-20.49578857,72.10878754,81.05328369
3191,-14.48425293,-22.63341522,-19.43006134,-24.05152893,-18.77307892,-20.27064514,86.27320099,93.09614563
3217,-13.09751129,-22.21165466,-19.07437134,-23.96256256,-17.42651367,-20.06221771,102.5198135,107.2133026
3252,-11.68280792,-21.79724121,-18.76080322,-23.89523315,-16.04377747,-19.90262604,120.7160263,123.2161484
3283,-10.30363464,-21.4861145,-18.53498077,-23.85842133,-14.65744781,-19.79927826,140.7123413,140.9005737
3312,-9.003684998,-21.34059143,-18.43247223,-23.86969757,-13.29544067,-19.74372101,162.3448181,160.1322174
3360,-7.799552917,-21.38413239,-18.47200775,-23.95991516,-11.98084259,-19.7219162,185.4073486,180.899704
3397,-6.689315796,-21.61289215,-18.66043854,-24.1688385,-10.73709869,-19.72016907,209.7191162,203.2808838
3419,-5.663146973,-21.9889679,-18.98574066,-24.52731323,-9.584335327,-19.72783661,235.1443787,227.3406525
3453,-4.709236145,-22.42664337,-19.39762115,-25.03101349,-8.531982422,-19.73804474,261.4200439,252.9935608
3489,-3.815505981,-22.81941986,-19.80948639,-25.63330841,-7.58001709,-19.74723816,288.1247253,279.8710632
3510,-2.967483521,-23.09934998,-20.14001465,-26.26878357,-6.721672058,-19.75440216,314.8536987,307.302002
3563,-2.146453857,-23.25987244,-20.35434723,-26.87228394,-5.941085815,-19.76023865,341.2615967,334.4981079
3600,-1.331741333,-23.33128357,-20.463974,-27.3825531,-5.212898254,-19.76644897,367.0666504,360.843689
3614,-0.504959106,-23.35218811,-20.50115967,-27.76079559,-4.510902405,-19.77509308,392.1713257,386.0738831
3665,0.346199036,-23.35482788,-20.49858856,-28.01243591,-3.814102173,-19.7878952,416.6577454,410.230835
3700,1.226905823,-23.35906982,-20.48065948,-28.17601013,-3.104743958,-19.80536652,440.5964966,433.4561157
3716,2.139503479,-23.37034607,-20.46192932,-28.28939819,-2.372497559,-19.82553101,463.8984375,455.8146362
3747,3.089645386,-23.37857056,-20.44884491,-28.37030792,-1.61907196,-19.84237671,486.3456421,477.2929077
3784,4.090629578,-23.35707092,-20.44223022,-28.42691803,-0.850822449,-19.84420776,507.7197876,497.8812866
